"","ID","A1_1","A1_2","B1","C1_1","A2_1","A2_2","B2","C2_1","A3_1","A3_2","B3","C3_1","A4_1","A4_2","B4","C4_1","A5_1","A5_2","B5","C5_1","A6_1","A6_2","B6","C6_1","A7_1","A7_2","B7","C7_1","A8_1","A8_2","B8","C8_1","A9_1","A9_2","B9","C9_1","A10_1","A10_2","B10","C10_1","doubt_other_inst","doubt_same_inst","doubt_students","doubt_yourself","study"
"45","R_3im6e3X0t9RIIR3","89","64","1","2","34","6","2","1","61","33","2","1","91","89","1","3","86","80","2","1","70","20","1","2","2","0","2","1","50","31","2","1","95","89","2","2","8","3","2","1","2","2","2","1","2"
"46","R_2E7736SpkA28Qrl","29","10","2","1","0","0","2","1","19","21","2","2","52","48","1","3","0","0","2","1","18","0","2","1","0","0","2","1","49","51","1","2","10","10","1","2","0","0","2","1","1","1","1","1","2"
"47","R_3NVCbbRiQ4hc3MF","15","2","2","1","8","2","2","1","8","2","2","1","15","8","2","2","15","4","2","1","19","3","2","1","1","0","2","1","15","2","2","1","5","1","2","1","20","8","2","1","2","1","2","1","2"
"48","R_x64EuzdFAjQsytP","40","9","1","2","30","9","2","2","61","19","1","2","50","39","1","3","51","19","1","2","70","10","1","2","40","10","2","1","80","29","1","2","50","10","2","2","39","9","2","1","3","3","3","2","2"
"49","R_0Tb0mgUra1h9PEx","71","9","2","1","9","0","2","2","59","19","1","2","60","60","1","3","51","0","2","1","50","61","2","1","19","0","2","1","80","20","2","2","91","9","1","3","18","0","2","2","3","2","2","2","2"
"50","R_2ya77bb3Jg9UuEb","80","41","1","3","30","0","2","1","20","9","2","1","19","19","2","3","20","19","2","3","61","18","2","3","70","0","2","1","80","20","1","2","80","29","1","2","80","20","2","2","1","1","1","2","2"
"51","R_1NqqWYeHPRMp3vz","91","9","2","1","91","9","1","2","100","9","2","1","100","81","1","3","40","9","2","1","91","9","2","1","20","0","2","1","91","60","1","2","100","0","1","1","40","30","2","1","3","3","3","2","2"
"52","R_29c8mu22381duKG","100","80","1","2","70","50","1","2","100","81","1","2","100","80","1","3","50","29","2","1","100","72","2","2","20","4","2","1","100","61","2","1","91","60","2","1","81","61","2","1","2","2","3","1","2"
"53","R_1GHdSnhj02edVgd","40","20","2","2","5","2","2","1","5","5","2","1","70","70","1","2","10","5","2","1","10","5","2","1","1","0","2","1","2",NA,"2","1","30","10","2","1","5","0","2","1","2","2","2","1","2"
"54","R_bKG4aIQN3tnYFil","90","70","2","2","70","70","1","3","99","99","1","3","99","99","1","3","91","91","2","3","91","91","2","3","9","3","2","2","80","3","2","2","20","3","2","1","91","81","2","2","2","2","2","1","2"
"55","R_1runwb4Hx9T5BTd","60","96","2","2","55","40","2","1","61","54","1","2","82","100","2","3","30","100","2","1","80","70","1","2","5","0","2","1","90","81","1","1","25","49","2","1","5","0","2","1","3","3","3","2","2"
"56","R_8GHSdB7DDj98XSl","89","89","2","1","30","1","2","2","99","28","1","2","45","38","1","2","70","1","2","1","90","90","1","2","5","1","2","1","38","2","2","1","81","69","2","1","8","2","2","1","4","4","2","1","2"
"57","R_7UMBrwjPPsMlnbD","60","8","2","2","50","50","2","2","100","91","1","3","29","50","2","1","40","30","2","2","90","70","1","2","19","0","2","1","100","70","1","2","91","60","2","2","30","0","2","1","3","3","2","1","2"
"58","R_2AXYWPkyjvH36gh","20","0","2","1","0","0","2","1","10","0","2","1","50","0","2","2","10","0","2","1","30","20","1","2","5",NA,"2","1","80","80","1","2","20","5","2","1","10","0","2","1","2","3","3","2","2"
"59","R_bsgodjPqjwVVRZz","92","30","1","2","30","19","2","1","71","51","1","2","60","60","1","2","30","30","2","1","70","30","1","2","20","1","2","1","81","40","2","1","91","81","1","2","9","9","2","1","2","4","2","1","2"
"60","R_2aRcpqwxNa0PNIR","80","82","2","1","98","99","2","1","32","30","1","2","97","98","2","1","100","100","2","1","91","92","2","1","80","81","2","1","90","90","2","1","100","100","1","2","93","95","2","1","3","4","4","2","2"
"61","R_9LlMlkCxAJfF9rb","15","5","2","2","8","4","2","2","4",NA,"2","1","40","40","1","3","0","0","2","1","5","4","2","2","0","0","2","1","29","7","2","2","41","10","1","2","9","8","2","1","3","3","3","2","2"
"62","R_25YD7Hn8vGgrIH1","30","19","2","2","28","29","2","1","30","19","2","1","20","19","2","2","40","39","1","2","9","9","2","1","9","0","2","1","30","15","2","1","9","9","2","2","0","0","2","1","1","1","1","1","2"
"63","R_338fO7YzvPeu1RW","57","49","1","2","52","41","2","2","5","2","2","1","47","31","2","1","20","12","2","1","27","13","2","1","6","2","2","1","41","29","2","2","38","27","2","1","24","14","2","2","2","1","2","1","2"
"64","R_ePOvoletpTKpFrv","50","9","2","1","19","9","2","2","29","9","2","2","34","9","2","2","30","4","2","2","60","4","2","1","19","0","2","1","34","5","2","1","4","0","2","1","50","14","2","1","3","3","2","2","2"
"65","R_2bN3PzxYsxB0OIz","89","71","1","3","84","64","1","2","91","71","1","3","83","43","1","2","92","71","1","2","85","74","1","2","43","4","2","1","84","42","1","2","52","11","1","1","72","24","2","1","3","3","3","1","2"
"66","R_b1kk3Nks1bUtAdn","25","2","2","1","74","23","1","2","75","14","1","2","30","12","2","2","2","1","2","1","13","6","2","2","3","1","2","1","14","5","2","1","26","22","1","2","3","1","2","1","3","2","2","1","2"
"67","R_1OCrH41a8DmZUT9","70","32","2","2","60","21","1","2","53","7","1","2","72","26","2","2","42","23","2","2","82","39","1","2","41",NA,"2","1","71","7","2","2","60","20","2","2","39","3","1","2","3","3","1","1","2"
"68","R_3rR6vGiVgr7LxM5","85","84","2","3","18","7","2","2","29","9","2","1","51","42","2","2","9","8","2","1","88","84","1","3","10","0","2","1","59","27","1","2","90","82","2","3","80","74","2","3","3","3","3","1","2"
"69","R_2dBe0KXpTQoHm7H","70","10","2","1","61","40","2","2","71","40","2","1","71","50","1","2","20","0","2","1","91","0","1","2","10","0","2","1","10","0","2","1","30","0","2","1","19","0","2","1","1","3","3","1","2"
"70","R_3ipQMafe6A9PAoF","87","49","1","2","30","21","2","1","41","25","2","2","92","81","1","3","71","59","1","1","80","61","1","3","15","0","2","1","46","20","1","2","34","11","2","2","15","10","2","1","1","2","1","2","2"
"71","R_XLkbaUaAfcyTyJH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"72","R_2gZosM3jw74ngbP","70","70","1","2","10","5","2","1","70","70","1","2","20","50","2","2","20","50","2","2","70","70","1","2","5","3","2","1","40","25","2","1","20","10","2","1","20","50","2","1","2","2","2","1","2"
"73","R_3Rw6K0rXKT3Kk9P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"74","R_2zBn8THKb1iLtQs","50","4","2","1","60","19","1","2","50","29","2","2","100","100","1","3","70","50","1","2","80","50","1","2","40","0","2","1","50","19","2","2","40","8","2","1","39","4","2","1","3","2","1","1","2"
"75","R_3m9uSFsKM638cTO",NA,NA,"1","2",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"1","3",NA,NA,"2","2",NA,NA,"2","2",NA,NA,"2","1",NA,NA,"1","2",NA,NA,"2","1",NA,NA,"2","1","2","2","2","2","2"
"76","R_3iDLiuMpdATqcZu","80","5","2","1","39","0","2","1","70","19","2","1","80","80","1","3","29","0","2","1","81","20","2","1","29","0","2","1","80","5","2","1","70","1","2","1","40","0","2","1","3","3","3","1","2"
"77","R_3NVzwtTeuRZCkTc","40","20","1","2","9","4","2","2","9","9","1","2","49","25","1","3","14","7","2","2","40","37","1","3","4","3","2","1","15","1","1","2","10","4","1","1","9","4","2","1","2","1","1","1","2"
"78","R_1lxvNc5eMW9mxtS","0",NA,NA,NA,"25","0","2","1","80","50","1","2","0",NA,NA,NA,"9","10","2","2","50","25","2","2","39","0","2","1","91","0","2","1","70","0","1","2","9","0","2","1","2","3","3","2","2"
"79","R_XLnzxSiWaqi0rqF","70","51","2","1","29","20","2","2","11","11","2","1","20","21","2","3","40","28","1","2","51","28","2","1","19","0","2","1","71","50","2","1","10","9","2","2","40","31","2","1","2","2","3","2","2"
"80","R_Rn8EN3ImkCZuqrL","39","17","2","2","4","7","2","1","0","0","2","1","94","56","1","3","4","1","2","1","8","3","2","1","4","6","2","1","6","2","2","1","24","8","2","2","15","1","2","1","3","2","3","2","2"
"81","R_1Dqaww3dZUOta85","81","71","1","1","81","70","1","2","81","81","1","2","71","70","2","2","29","61","2","1","60","50","2","1","70","40","2","1","71","50","1","2","70","60","1","1","59","30","2","1","3","3","3","3","2"
"82","R_22snoJn2IKAqlWC","9","1","2","2","5","2","1","2","3","1","2","1","5","1","2","1","1",NA,"2","1","3","3","2","2","20","0","2","2","5","1","2","2","6","2","2","2","6","2","2","1","4","2","2","2","2"
"83","R_9X3WM3mtDj8ZA9b","10","10","2","1","30","9","2","1","19","19","1","2","9","9","2","2","0","0","2","2","8","10","2","1","9","9","2","1","9","8","1","2","9","9","1","2","0","5","2","1","3","3","3","1","2"
"84","R_3dCg0r5VEoq4okd","75","15","2","3","50","5","2","2","50","5","2","2","90","90","1","2","5","100","2","2","81","1","2","1","0","0","2","1","50","5","1","2","9","0","2","1","0","0","2","1","1","1","1","1","2"
"85","R_2b28cjF1jh6ce6w","49","0","1","2","69","0","1","2","53","81","1","3","75","30","1","3","55","0","1","2","16","0","2","2","0","0","2","1","30","5","2","1","0","0","2","1","0","0","2","1","1","1","1","1","2"
"86","R_3EcmeCMy99BnpTj","72","45","2","2","22","35","2","1","74","52","1","2","73","47","1","3","0","0","2","1","72","43","2","2","22","19","2","1","70","51","2","1","33","18","2","1","4","0","2","1","1","1","1","1","2"
"87","R_SCwzBGfXQoT5PUt","69","80","1","2","50","31","2","1","70","79","1","2","69","39","2","2","9","70","2","2","80","91","1","3","3","4","2","1","39","70","2","2","38","60","2","1","3","3","2","1","2","2","2","2","2"
"88","R_9BOpUWA3DId4vdP","96","81","1","3","71","51","1","2","91","61","1","3","80","50","1","2","10","0","2","2","60","0","1","2","0","0","2","1","0","0","2","1","0","0","2","1","5","0","2","1","1","1","1","1","2"
"89","R_2tg1aKlM3DUH0LU","60","31","2","1","44","45","2","2","38","21","2","2","82","72","1","2","78","74","2","2","41","14","2","1","33","0","2","1","71","41","2","1","51","16","2","2","61","32","2","1","3","3","3","2","2"
"90","R_1jlKm2MpUzGDxVi","81","19","1","2","50","20","2","1","38","29","2","1","100","9","1","3","61",NA,"2","2","90","71","1","2","20","20","2","1","81","50","1","2","20","18","2","2","20","11","2","1","2","2","2","1","2"
"91","R_2VqgdNyfGhY4vUm","30","20","2","1","5","0","2","1","30","10","2","1","80","80","1","2","19","19","2","2","30","0","2","1","2","0","2","1","40","9","1","2","5","0","2","1","0","0","2","1","2","3","3","2","2"
"92","R_cPc2lm7RB2Bb4vX","50","10","2","2","29","10","2","1","70","30","2","2","90","10","2","2","70","30","2","2","40","20","2","1","40","0","2","1","95","5","1","2","90","70","1","3","80","20","2","1","3","4","2","1","2"
"93","R_vw9zIxIJ6by9CG5","0","0","2","1","0","0","2","1","0","0","2","2","0","0","2","2","0","0","2","1","50","50","1","2","0","0","2","1","0","0","2","2","0","0","2","1","0","0","2","1","3","3","1","1","2"
