"","var","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative","sorter","n","estimate_n"
"1","File drawer",43,22.7966909697654,6.85527275593513e-86,681,0.395876523061176,0.47049645784925,"One Sample t-test","two.sided",1,"(681)","43 (681)"
"2","Sample selectively",15,11.0094492264765,4.72706647086308e-26,680,0.124456790924247,0.178484385546341,"One Sample t-test","two.sided",2,"(680)","15 (680)"
"3","Drop covariates selectively",32,17.5973896436586,2.98557400311899e-57,670,0.281112007931321,0.351723812964201,"One Sample t-test","two.sided",3,"(670)","32 (670)"
"4","Underreport results",46,27.4070633511725,8.86029050459324e-120,873,0.429631789126007,0.495912311675826,"One Sample t-test","two.sided",4,"(873)","46 (873)"
"5","Round p-values",27,15.8203496979975,2.43911148796038e-48,692,0.232896625432497,0.298895282081953,"One Sample t-test","two.sided",5,"(692)","27 (692)"
"6","Switch analysis selectively",39,20.6844601078238,4.17862203101382e-74,681,0.349537295877677,0.422856243035686,"One Sample t-test","two.sided",6,"(681)","39 (681)"
"7","Exclude data selectively",24,14.4574320347862,1.72136585250256e-41,679,0.203638206633988,0.267643089389576,"One Sample t-test","two.sided",7,"(679)","24 (679)"
"8","HARK",27,18.3089721595305,7.95600391843909e-64,894,0.243673940660918,0.302187356878232,"One Sample t-test","two.sided",8,"(894)","27 (894)"
"9","Hide data problems",10,9.80148411767784,1.24458542334097e-21,912,0.0762936515598602,0.11449582212435,"One Sample t-test","two.sided",9,"(912)","10 (912)"
"10","Hide imputation",6,7.50416550990182,1.50705165436112e-13,885,0.0442240646816091,0.0755499466178259,"One Sample t-test","two.sided",10,"(885)","6 (885)"
"11","Preregister study",40,24.3333764107485,1.61149336553121e-100,885,0.368776104168155,0.433483782837495,"One Sample t-test","two.sided",11,"(885)","40 (885)"
"12","Share data",39,24.481456791186,2.81121742176442e-102,919,0.363329892628131,0.426659225979051,"One Sample t-test","two.sided",12,"(919)","39 (919)"
"13","Share code",38,23.4741609410019,2.88389602682163e-95,893,0.349932453462596,0.41378535168858,"One Sample t-test","two.sided",13,"(893)","38 (893)"
"14","Attempt replication",34,21.6583350075237,5.93200577419322e-84,895,0.312949557726906,0.375318598697675,"One Sample t-test","two.sided",14,"(895)","34 (895)"
"15","Post article publicly",69,44.9659718916298,2.93258646422928e-232,900,0.662009160746503,0.722435283697941,"One Sample t-test","two.sided",15,"(900)","69 (900)"
