"","var","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative","sorter","n","estimate_n"
"1","Omit non-significant studies or variables",34,19.8117994855088,5.14633465603869e-55,278,30.7447576704565,37.5286236245076,"One Sample t-test","two.sided",1,"(278)","34 (278)"
"2","Sample selectively",29,10.1052662230569,7.15260227216901e-17,99,23.1182938590883,34.4170596762653,"One Sample t-test","two.sided",2,"(99)","29 (99)"
"3","Drop covariates selectively",39,17.2706872883919,7.53830279078388e-42,206,34.9133179505361,43.9119247679105,"One Sample t-test","two.sided",3,"(206)","39 (206)"
"4","Underreport results",47,27.7080615628825,8.33697264357376e-94,387,43.9002009682,50.6062589801204,"One Sample t-test","two.sided",4,"(387)","47 (387)"
"5","Round p-values",46,16.7110676172864,4.32143831377449e-38,176,40.351838933352,51.1595247030117,"One Sample t-test","two.sided",5,"(176)","46 (176)"
"6","Switch analysis selectively",29,17.3198816120387,9.52667365532146e-45,252,25.3752995280685,31.8866052338363,"One Sample t-test","two.sided",6,"(252)","29 (252)"
"7","Exclude data selectively",34,13.5420506739345,1.08838277918963e-27,149,29.0098929028342,38.9229930032061,"One Sample t-test","two.sided",7,"(149)","34 (149)"
"8","HARK",37,17.4882160708034,6.98821110658677e-44,227,33.1788515982691,41.6052893708939,"One Sample t-test","two.sided",8,"(227)","37 (227)"
"9","Hide problems",33,8.41613460943276,1.23400081014036e-12,81,24.8481034421797,40.2383163109067,"One Sample t-test","two.sided",9,"(81)","33 (81)"
"10","Hide imputation",31,6.76733631154848,1.26885732288272e-08,52,21.600717994171,39.822358928906,"One Sample t-test","two.sided",10,"(52)","31 (52)"
"11","Preregister study",50,25.6639691487066,1.50505592714449e-81,341,46.1055666123215,53.7595360269747,"One Sample t-test","two.sided",11,"(341)","50 (341)"
"12","Share data",35,22.5189098503967,8.73482733627014e-70,347,31.8878276259634,37.9911925469473,"One Sample t-test","two.sided",12,"(347)","35 (347)"
"13","Share code",33,21.0246156856778,2.98107124867376e-62,321,29.542072065654,35.641728557399,"One Sample t-test","two.sided",13,"(321)","33 (321)"
"14","Attempt replication",22,15.8586082529466,2.17881809592687e-41,296,19.1692107987438,24.6010594715265,"One Sample t-test","two.sided",14,"(296)","22 (296)"
"15","Post article publicly",59,45.5581441810919,1.11698472276359e-195,593,56.4807565246299,61.5698336945944,"One Sample t-test","two.sided",15,"(593)","59 (593)"
